wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_kl_div,test_docstring_metric,test_docstring_stefan,test_nll,test_match_nll,score,number_of_edges
launch-acdc-docstring-00044,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0001,False,0,2252038522,docstring,4,attn-only-4l,0.0411253236234188,-0.8628786206245422,-0.6599999666213989,1.6147783994674685,0.053133949637413,inf,867
launch-acdc-docstring-00045,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0002511886431509,False,0,3240991056,docstring,4,attn-only-4l,0.096704214811325,-0.9279202222824096,-0.6800000071525574,1.59716796875,0.0355235338211059,inf,683
launch-acdc-docstring-00046,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0006309573444801,False,0,2765342301,docstring,4,attn-only-4l,0.1502548158168792,-0.8219724297523499,-0.6399999856948853,1.6661792993545532,0.1045348793268203,inf,518
launch-acdc-docstring-00047,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0015848931924611,False,0,3610091782,docstring,4,attn-only-4l,0.2738040685653686,-0.5057203769683838,-0.6200000047683716,1.934682250022888,0.3730377554893493,inf,362
launch-acdc-docstring-00048,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0039810717055349,False,0,602669927,docstring,4,attn-only-4l,0.3248684704303741,-0.6222627758979797,-0.6399999856948853,1.841778039932251,0.2801335155963897,inf,217
launch-acdc-docstring-00049,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.01,False,0,3201324901,docstring,4,attn-only-4l,0.5486306548118591,-0.564579427242279,-0.5799999833106995,1.99606192111969,0.4344173967838287,inf,123
launch-acdc-docstring-00050,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0251188643150958,False,0,1773794558,docstring,4,attn-only-4l,0.8299990892410278,0.5679605603218079,-0.3799999952316284,2.7778494358062744,1.2162048816680908,inf,81
launch-acdc-docstring-00051,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0630957344480193,False,0,2714869100,docstring,4,attn-only-4l,1.3802651166915894,0.8342538475990295,-0.3199999928474426,3.706092357635498,2.1444480419158936,inf,44
launch-acdc-docstring-00052,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.1584893192461114,False,0,494039680,docstring,4,attn-only-4l,2.0682120323181152,1.917470335960388,-0.1599999964237213,4.9118733406066895,3.350228786468506,inf,21
launch-acdc-docstring-00053,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.3981071705534973,False,0,1641608773,docstring,4,attn-only-4l,2.1202938556671143,1.9158741235733032,-0.2399999946355819,4.972664833068848,3.411020517349243,inf,8
launch-acdc-docstring-00054,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,1.0,False,0,1778605339,docstring,4,attn-only-4l,3.989950180053711,3.270806312561035,-0.1199999973177909,7.324276447296143,5.762632369995117,inf,2
launch-acdc-docstring-00055,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0001,False,0,1093937761,docstring,4,attn-only-4l,0.005355002824217,-0.8531908392906189,-0.6800000071525574,1.5623114109039309,0.0006667652633041,inf,1304
launch-acdc-docstring-00056,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0002511886431509,False,0,1483055924,docstring,4,attn-only-4l,0.023318700492382,-0.8747652769088745,-0.699999988079071,1.5461078882217407,-0.0155366444960236,inf,1244
launch-acdc-docstring-00057,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0006309573444801,False,0,3852483116,docstring,4,attn-only-4l,0.0351458936929702,-0.8517274260520935,-0.699999988079071,1.5926371812820437,0.0309926457703113,inf,1139
launch-acdc-docstring-00058,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0015848931924611,False,0,2994995279,docstring,4,attn-only-4l,0.0831235125660896,-0.8558877110481262,-0.6399999856948853,1.6318422555923462,0.0701977089047432,inf,961
launch-acdc-docstring-00059,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0039810717055349,False,0,1038460552,docstring,4,attn-only-4l,0.1970751732587814,-0.6543775796890259,-0.5999999642372131,1.9135431051254272,0.3518986403942108,inf,681
launch-acdc-docstring-00060,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.01,False,0,1517267923,docstring,4,attn-only-4l,0.3340556919574737,-0.712566614151001,-0.6399999856948853,1.7817293405532837,0.2200848311185836,inf,404
launch-acdc-docstring-00061,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0251188643150958,False,0,4133284902,docstring,4,attn-only-4l,0.5940326452255249,-0.1087454557418823,-0.5,2.412487506866455,0.8508431911468506,inf,187
launch-acdc-docstring-00062,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0630957344480193,False,0,3251076505,docstring,4,attn-only-4l,1.0129742622375488,0.8783137202262878,-0.4399999976158142,3.1365017890930176,1.574857473373413,inf,110
launch-acdc-docstring-00063,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.1584893192461114,False,0,3141121207,docstring,4,attn-only-4l,1.4154644012451172,1.2918205261230469,-0.3999999761581421,3.7518606185913086,2.190216302871704,inf,58
launch-acdc-docstring-00064,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.3981071705534973,False,0,2592672107,docstring,4,attn-only-4l,1.693550705909729,1.5418859720230105,-0.2599999904632568,4.293153762817383,2.7315094470977783,inf,34
launch-acdc-docstring-00065,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,1.0,False,0,3306680558,docstring,4,attn-only-4l,2.9607603549957275,2.4983060359954834,-0.0999999940395355,6.189581394195557,4.627936840057373,inf,7
launch-acdc-docstring-00065,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,1.0,False,0,3306680558,docstring,4,attn-only-4l,2.9607603549957275,2.4983060359954834,-0.0999999940395355,6.189581394195557,4.627936840057373,inf,7
launch-acdc-docstring-00065,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,1.0,False,0,3306680558,docstring,4,attn-only-4l,2.9607603549957275,2.4983060359954834,-0.0999999940395355,6.189581394195557,4.627936840057373,inf,7
launch-acdc-docstring-00065,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,1.0,False,0,3306680558,docstring,4,attn-only-4l,2.9607603549957275,2.4983060359954834,-0.0999999940395355,6.189581394195557,4.627936840057373,inf,7
launch-acdc-docstring-00044,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0001,False,1,2252038522,docstring,4,attn-only-4l,9.257960319519045,3.769951105117798,-0.0399999991059303,12.276455879211426,10.714811325073242,inf,1091
launch-acdc-docstring-00045,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0002511886431509,False,1,3240991056,docstring,4,attn-only-4l,9.25967788696289,3.7996459007263184,-0.0399999991059303,12.301267623901367,10.7396240234375,inf,778
launch-acdc-docstring-00046,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0006309573444801,False,1,2765342301,docstring,4,attn-only-4l,9.270606994628906,3.680728673934937,-0.0599999986588954,12.259536743164062,10.697891235351562,inf,424
launch-acdc-docstring-00047,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0015848931924611,False,1,3610091782,docstring,4,attn-only-4l,9.363995552062988,3.657727003097534,-0.0599999986588954,12.33855152130127,10.776906967163086,inf,124
