wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_kl_div,test_nll,test_match_nll,score,number_of_edges
launch-acdc-induction-00034,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0002511886431509,False,0,194413818,induction,4,attn-only-4l,0.0073776245117187,1.0146484375,0.0010671615600585,inf,293
launch-acdc-induction-00035,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0006309573444801,False,0,3253509635,induction,4,attn-only-4l,0.06842041015625,1.0615234375,0.0482177734375,inf,261
launch-acdc-induction-00036,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0015848931924611,False,0,4280932122,induction,4,attn-only-4l,0.09832763671875,1.0654296875,0.0516357421875,inf,226
launch-acdc-induction-00037,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0039810717055349,False,0,3819711836,induction,4,attn-only-4l,0.20361328125,1.216796875,0.20361328125,inf,153
launch-acdc-induction-00038,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.01,False,0,1257784960,induction,4,attn-only-4l,0.448974609375,1.4462890625,0.4326171875,inf,117
launch-acdc-induction-00039,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0251188643150958,False,0,4027727471,induction,4,attn-only-4l,0.6708984375,1.6416015625,0.62841796875,inf,85
launch-acdc-induction-00040,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0630957344480193,False,0,1281964070,induction,4,attn-only-4l,1.0546875,2.044921875,1.03125,inf,73
launch-acdc-induction-00041,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.1584893192461114,False,0,1819900400,induction,4,attn-only-4l,2.419921875,3.3828125,2.369140625,inf,55
launch-acdc-induction-00042,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.3981071705534973,False,0,3825317895,induction,4,attn-only-4l,6.0546875,7.0546875,6.04296875,inf,47
launch-acdc-induction-00043,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,1.0,False,0,80533718,induction,4,attn-only-4l,11.2421875,12.234375,11.21875,inf,8
launch-acdc-induction-00022,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0001,False,1,2130967407,induction,4,attn-only-4l,15.225462913513184,16.414039611816406,15.40026569366455,inf,304
launch-acdc-induction-00023,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0002511886431509,False,1,450094628,induction,4,attn-only-4l,15.223413467407228,16.410694122314453,15.396920204162598,inf,302
launch-acdc-induction-00024,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0006309573444801,False,1,402349885,induction,4,attn-only-4l,15.196480751037598,16.38844871520996,15.374673843383787,inf,298
launch-acdc-induction-00025,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0015848931924611,False,1,3596685807,induction,4,attn-only-4l,15.171116828918455,16.37689971923828,15.363125801086426,inf,287
launch-acdc-induction-00026,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0039810717055349,False,1,3601675602,induction,4,attn-only-4l,14.956997871398926,16.11919403076172,15.10542106628418,inf,229
launch-acdc-induction-00027,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.01,False,1,1347439318,induction,4,attn-only-4l,14.836201667785645,15.95531177520752,14.941535949707031,inf,158
launch-acdc-induction-00028,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0251188643150958,False,1,2809240500,induction,4,attn-only-4l,14.73414707183838,15.87397003173828,14.860197067260742,inf,78
launch-acdc-induction-00029,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0630957344480193,False,1,3672942202,induction,4,attn-only-4l,14.901293754577637,15.997014999389648,14.983241081237791,inf,34
launch-acdc-induction-00030,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.1584893192461114,False,1,2837779777,induction,4,attn-only-4l,14.929838180541992,16.058908462524414,15.045135498046877,inf,2
launch-acdc-induction-00031,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.3981071705534973,False,1,2438439592,induction,4,attn-only-4l,14.929838180541992,16.05890655517578,15.04513454437256,inf,1
launch-acdc-induction-00032,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,1.0,False,1,829347651,induction,4,attn-only-4l,14.929838180541992,16.05890655517578,15.04513454437256,inf,1
launch-acdc-induction-00033,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0001,False,1,1426547147,induction,4,attn-only-4l,15.230732917785645,16.419483184814453,15.40570831298828,inf,305
launch-acdc-induction-00034,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0002511886431509,False,1,194413818,induction,4,attn-only-4l,15.250551223754885,16.442087173461914,15.428312301635742,inf,303
launch-acdc-induction-00035,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0006309573444801,False,1,3253509635,induction,4,attn-only-4l,15.200499534606934,16.406118392944336,15.392345428466797,inf,298
launch-acdc-induction-00036,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0015848931924611,False,1,4280932122,induction,4,attn-only-4l,15.193802833557127,16.39740753173828,15.383633613586426,inf,291
launch-acdc-induction-00037,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0039810717055349,False,1,3819711836,induction,4,attn-only-4l,15.128796577453612,16.31772804260254,15.303956031799316,inf,252
launch-acdc-induction-00038,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.01,False,1,1257784960,induction,4,attn-only-4l,15.114730834960938,16.225021362304688,15.211249351501465,inf,189
launch-acdc-induction-00039,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0251188643150958,False,1,4027727471,induction,4,attn-only-4l,15.077420234680176,16.097261428833008,15.083488464355469,inf,99
launch-acdc-induction-00040,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0630957344480193,False,1,1281964070,induction,4,attn-only-4l,14.901293754577637,15.997014999389648,14.983241081237791,inf,34
launch-acdc-induction-00041,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.1584893192461114,False,1,1819900400,induction,4,attn-only-4l,14.929838180541992,16.058908462524414,15.045135498046877,inf,2
launch-acdc-induction-00042,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.3981071705534973,False,1,3825317895,induction,4,attn-only-4l,14.929838180541992,16.05890655517578,15.04513454437256,inf,1
launch-acdc-induction-00043,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,1.0,False,1,80533718,induction,4,attn-only-4l,14.929838180541992,16.05890655517578,15.04513454437256,inf,1
launch-acdc-induction-00044,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0001,True,1,2252038522,induction,4,attn-only-4l,15.230734825134276,16.419483184814453,15.40570831298828,inf,305
launch-acdc-induction-00045,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0002511886431509,True,1,3240991056,induction,4,attn-only-4l,15.230734825134276,16.419483184814453,15.40570831298828,inf,305
launch-acdc-induction-00046,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0006309573444801,True,1,2765342301,induction,4,attn-only-4l,15.204349517822266,16.397876739501953,15.38410186767578,inf,302
launch-acdc-induction-00047,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0015848931924611,True,1,3610091782,induction,4,attn-only-4l,15.22475528717041,16.44780158996582,15.43402862548828,inf,288
launch-acdc-induction-00048,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0039810717055349,True,1,602669927,induction,4,attn-only-4l,15.006922721862791,16.219478607177734,15.20570468902588,inf,262
launch-acdc-induction-00049,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.01,True,1,3201324901,induction,4,attn-only-4l,15.00139045715332,16.109939575195312,15.096165657043455,inf,210
launch-acdc-induction-00050,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0251188643150958,True,1,1773794558,induction,4,attn-only-4l,15.074736595153809,16.209300994873047,15.195528030395508,inf,137
launch-acdc-induction-00051,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0630957344480193,True,1,2714869100,induction,4,attn-only-4l,14.917604446411133,16.062822341918945,15.049049377441406,inf,78
launch-acdc-induction-00052,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.1584893192461114,True,1,494039680,induction,4,attn-only-4l,14.329938888549805,15.483692169189451,14.469918251037598,inf,35
launch-acdc-induction-00053,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.3981071705534973,True,1,1641608773,induction,4,attn-only-4l,13.659757614135742,14.737881660461426,13.724108695983888,inf,9
launch-acdc-induction-00054,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,1.0,True,1,1778605339,induction,4,attn-only-4l,11.0567626953125,12.117098808288574,11.10332489013672,inf,4
launch-acdc-induction-00055,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0001,True,1,1093937761,induction,4,attn-only-4l,15.226354598999023,16.41353988647461,15.399765968322754,inf,304
launch-acdc-induction-00056,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0002511886431509,True,1,1483055924,induction,4,attn-only-4l,15.139121055603027,16.326332092285156,15.312559127807615,inf,301
launch-acdc-induction-00057,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0006309573444801,True,1,3852483116,induction,4,attn-only-4l,15.37583827972412,16.57253074645996,15.558757781982422,inf,297
launch-acdc-induction-00058,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0015848931924611,True,1,2994995279,induction,4,attn-only-4l,15.366735458374023,16.555339813232422,15.541566848754885,inf,289
launch-acdc-induction-00059,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0039810717055349,True,1,1038460552,induction,4,attn-only-4l,15.41038990020752,16.558412551879883,15.54464054107666,inf,239
launch-acdc-induction-00060,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.01,True,1,1517267923,induction,4,attn-only-4l,15.305222511291504,16.476835250854492,15.463061332702637,inf,214
launch-acdc-induction-00061,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0251188643150958,True,1,4133284902,induction,4,attn-only-4l,15.033480644226074,16.139259338378906,15.125486373901367,inf,127
launch-acdc-induction-00062,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0630957344480193,True,1,3251076505,induction,4,attn-only-4l,15.11320686340332,16.21730613708496,15.203531265258787,inf,79
launch-acdc-induction-00063,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.1584893192461114,True,1,3141121207,induction,4,attn-only-4l,14.329938888549805,15.483692169189451,14.469918251037598,inf,35
launch-acdc-induction-00064,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.3981071705534973,True,1,2592672107,induction,4,attn-only-4l,13.898188591003418,14.92375373840332,13.90998077392578,inf,11
